fi	sv	en
Yleisradio Oy:n hallintoneuvoston kertomus		Rundradion Ab:s förvaltningsråds berättelse
Yleisradio Oy:n hallintoneuvoston kertomus	Report of the administrative council of the Finnish Broadcasting Company (YLE)	
Ylen hallintoneuvosto		Rundradion Ab:s förvaltningsråd
Ylen hallintoneuvosto		Yles förvaltningsråd
Ylen hallintoneuvosto	Administrative Council of the Finnish Broadcasting Company	
YmV		MiU
YmV		miljöutskottet
YmV	Environment Committee	
ainoa käsittely		enda behandling
ainoa käsittely	single reading	
ajankohtaiskeskustelu		aktualitetsdebatt
ajankohtaiskeskustelu		aktuell debatt
ajankohtaiskeskustelu		debatt om aktuella frågor
ajankohtaiskeskustelu	topical debate	
allekirjoituskappale		loisto
allekirjoituskappale		undertecknat exemplar av handling
allekirjoituskappale	signature copy	
aloiteoikeus		förslagsrätt
aloiteoikeus		initiativrätt
aloiteoikeus		motionsrätt
aloiteoikeus	right to introduce a motion in Parliament	
alustava ääntenlaskenta		preliminär rösträkning
alustava ääntenlaskenta	preliminary counting of the votes	
alustava ääntenlaskenta	preliminary vote count	
apulaisoikeusasiamies		biträdande JO
apulaisoikeusasiamies		biträdande justitieombudsman
apulaisoikeusasiamies		riksdagens biträdande justitieombudsman
apulaisoikeusasiamies	Deputy Ombudsman	
apulaisoikeusasiamies	Deputy Parliamentary Ombudsman	
apulaispääsihteeri		biträdande generalsekreteraren
apulaispääsihteeri		riksdagens biträdande generalsekreterare
apulaispääsihteeri	Deputy Secretary-General	
apulaispääsihteeri	Deputy Secretary-General of Parliament	
arvalla ratkaiseminen		avgöra genom lottning
arvalla ratkaiseminen		avgörande genom lottning
arvalla ratkaiseminen		lottning
arvalla ratkaiseminen	decision by lot	
arvalla ratkaiseminen	drawing lots	
arvio vuotuisista tuloista		inkomstposter
arvio vuotuisista tuloista		inkomstsidan
arvio vuotuisista tuloista		uppskattningar av de årliga inkomsterna
arvio vuotuisista tuloista	estimates of annual revenues	
arvio vuotuisista tuloista	revenue estimates	
asetus		förordning
asetus	decree	
asiakirjatoimisto		dokumentbyrån
asiakirjatoimisto	Documents Office	
asian raukeaminen		falla
asian raukeaminen		förfalla
asian raukeaminen	lapse of a matter	
asian vireilletulo		anhängiggöra ett ärende
asian vireilletulo		inleda ett ärende
asian vireilletulo		väcka ett ärende
asian vireilletulo	introduction of a matter	
asian vireilletulo	introduction of business	
asiantuntijakuuleminen		förhör med sakkunniga
asiantuntijakuuleminen		hearing med sakkunniga
asiantuntijakuuleminen		hörande av sakkunniga
asiantuntijakuuleminen		utfrågning av experter
asiantuntijakuuleminen		utfrågning av sakkunniga
asiantuntijakuuleminen		utfrågning i utskott
asiantuntijakuuleminen		utskottsutfrågning
asiantuntijakuuleminen	hearing of experts	
asiantuntijalausunto		expertutlåtande
asiantuntijalausunto		expertyttrande
asiantuntijalausunto		sakkunnigutlåtande
asiantuntijalausunto		sakkunnigyttrande
asiantuntijalausunto	expert statement	
asiantuntijalausunto	statement of an expert	
asiantuntijoiden kuuleminen		förhör med sakkunniga
asiantuntijoiden kuuleminen		hearing med sakkunniga
asiantuntijoiden kuuleminen		hörande av sakkunniga
asiantuntijoiden kuuleminen		utfrågning av experter
asiantuntijoiden kuuleminen		utfrågning av sakkunniga
asiantuntijoiden kuuleminen		utfrågning i utskott
asiantuntijoiden kuuleminen		utskottsutfrågning
asiantuntijoiden kuuleminen	hearing of experts	
asiassa pysymisen vaatimus		krav på att hålla sig till saken
asiassa pysymisen vaatimus	requirement to keep to the issue in hand	
asiassa pysymisen vaatimus	requirement to keep to the issue under consideration	
asiassa pysymisen vaatimus	requirement to stay on topic	
asunto- ja ympäristöjaosto		BmD
asunto- ja ympäristöjaosto		bostads- och miljödelegationen
asunto- ja ympäristöjaosto	Housing and Environment Sub-committee	
avoin lippuäänestys		öppen omröstning med sedlar
avoin lippuäänestys	open-ballot vote	
avoin lippuäänestys	vote by open ballot	
avoin äänestys		öppen omröstning
avoin äänestys	open vote	
blankettilaki		blankettlag
blankettilaki	blanket act	
budjetti		budgeten
budjetti		statsbudgeten
budjetti		statsförslaget
budjetti	state budget	
budjetti	the Budget	
budjettialoite		BM
budjettialoite		budgetmotion
budjettialoite	budgetary motion	
budjettiesitys		budgetproposition
budjettiesitys		proposition om statsbudgeten
budjettiesitys		regeringens proposition om statsbudgeten
budjettiesitys	budget proposal	
budjettilaki		budgetlag
budjettilaki	budget act	
budjettilaki	expenditure act	
budjettilaki	finance act	
budjettilaki	finance and expenditure laws	
budjettilausunto		budgetutlåtande
budjettilausunto	statement on the Budget	
budjettimietintö		budgetbetänkande
budjettimietintö	report on the Budget	
budjettivalta		budgetmakt
budjettivalta	budgetary power	
d'Hondtin menetelmä		d'Hondts metod
d'Hondtin menetelmä	d’Hondt method	
demokratia		demokrati
demokratia		folkmakt
demokratia		folkstyre
demokratia		folkvälde
demokratia	democracy	
diplomaattiaitio		diplomatläktaren
diplomaattiaitio	diplomats' gallery	
diplomaattihuone		diplomatrummet
diplomaattihuone	Diplomats' Room	
diplomaattilehteri		diplomatläktaren
diplomaattilehteri	diplomats' gallery	
eduskunnalle annettava kertomus		B
eduskunnalle annettava kertomus		berättelse till riksdagen
eduskunnalle annettava kertomus	report submitted to Parliament	
eduskunnan apulaisoikeusasiamies		biträdande JO
eduskunnan apulaisoikeusasiamies		biträdande justitieombudsman
eduskunnan apulaisoikeusasiamies		riksdagens biträdande justitieombudsman
eduskunnan apulaisoikeusasiamies	Deputy Ombudsman	
eduskunnan apulaisoikeusasiamies	Deputy Parliamentary Ombudsman	
eduskunnan apulaispääsihteeri		biträdande generalsekreteraren
eduskunnan apulaispääsihteeri		riksdagens biträdande generalsekreterare
eduskunnan apulaispääsihteeri	Deputy Secretary-General	
eduskunnan apulaispääsihteeri	Deputy Secretary-General of Parliament	
eduskunnan auditorio		auditoriet
eduskunnan auditorio		riksdagens auditorium
eduskunnan auditorio	Auditorium	
eduskunnan auditorio	Parliament Auditorium	
eduskunnan erityisasiantuntijan toimisto		riksdagens specialmedarbetares kontor i Bryssel
eduskunnan erityisasiantuntijan toimisto	Office of Parliament’s Special Adviser	
eduskunnan hyväksymä lausuma		riksdagens uttalande
eduskunnan hyväksymä lausuma		uttalande
eduskunnan hyväksymä lausuma		uttalande av riksdagen
eduskunnan hyväksymä lausuma	resolution	
eduskunnan hyväksymä lausuma	resolution approved by Parliament	
eduskunnan järjestäytyminen		riksdagens konstituering
eduskunnan järjestäytyminen	organising of Parliament	
eduskunnan kanslia		kansliet
eduskunnan kanslia		riksdagens kansli
eduskunnan kanslia	Parliamentary Office	
eduskunnan kanslian johtoryhmä		kansliets ledningsgrupp
eduskunnan kanslian johtoryhmä		ledningsgruppen
eduskunnan kanslian johtoryhmä		ledningsgruppen för riksdagens kansli
eduskunnan kanslian johtoryhmä	management group of the Parliamentary Office	
eduskunnan kanta		riksdagens ståndpunkt
eduskunnan kanta	Parliament’s position	
eduskunnan kirjelmä		riksdagens skrivelse
eduskunnan kirjelmä		skrivelse
eduskunnan kirjelmä	parliamentary communication	
eduskunnan lainsäädäntöjohtaja		lagstiftningsdirektören
eduskunnan lainsäädäntöjohtaja		riksdagens lagstiftningsdirektör
eduskunnan lainsäädäntöjohtaja	Director of Legislation	
eduskunnan lainsäädäntöjohtaja	Director of Legislation of Parliament	
eduskunnan notaari		notarie
eduskunnan notaari		notarie i plenum
eduskunnan notaari		riksdagens notarie
eduskunnan notaari	plenary session clerk	
eduskunnan oikeusasiamiehen kertomus		JO:s berättelse
eduskunnan oikeusasiamiehen kertomus		riksdagens justitieombudsmans berättelse
eduskunnan oikeusasiamiehen kertomus	Parliamentary Ombudsman's Report	
eduskunnan oikeusasiamiehen kertomus	Report of the Parliamentary Ombudsman	
eduskunnan oikeusasiamies		JO
eduskunnan oikeusasiamies		justitieombudsmannen
eduskunnan oikeusasiamies		riksdagens justitieombudsman
eduskunnan oikeusasiamies	Ombudsman	
eduskunnan oikeusasiamies	Parliamentary Ombudsman	
eduskunnan palkkiotoimikunta		arvodeskommissionen
eduskunnan palkkiotoimikunta		riksdagens arvodeskommission
eduskunnan palkkiotoimikunta	Parliamentary Remuneration Committee	
eduskunnan pankkivaltuusto		riksdagens bankfullmäktige
eduskunnan pankkivaltuusto	Parliamentary Supervisory Council of the Bank of Finland	
eduskunnan pankkivaltuuston kertomus		riksdagens bankfullmäktiges berättelse
eduskunnan pankkivaltuuston kertomus	Report of the Parliamentary Supervisory Council of the Bank of Finland	
eduskunnan pankkivaltuutetut		riksdagens bankfullmäktige
eduskunnan pankkivaltuutetut	Parliamentary Supervisory Council of the Bank of Finland	
eduskunnan puhemies		riksdagens talman
eduskunnan puhemies		talman
eduskunnan puhemies	Speaker	
eduskunnan puhemies	Speaker of Parliament	
eduskunnan päärakennus		E-huset
eduskunnan päärakennus		Riksdagshuset
eduskunnan päärakennus		hus E
eduskunnan päärakennus		huvudbyggnaden
eduskunnan päärakennus		riksdagens huvudbyggnad
eduskunnan päärakennus	Building E	
eduskunnan päärakennus	Eduskuntatalo	
eduskunnan päärakennus	Parliament Building	
eduskunnan pääsihteeri		generalsekreteraren
eduskunnan pääsihteeri		riksdagens generalsekreterare
eduskunnan pääsihteeri	Secretary-General	
eduskunnan pääsihteeri	Secretary-General of Parliament	
eduskunnan sihteeri		riksdagens sekreterare
eduskunnan sihteeri		sekreterare för riksdagen
eduskunnan sihteeri	Secretary of Parliament	
eduskunnan tietojensaantioikeus		riksdagens rätt att få information
eduskunnan tietojensaantioikeus		rätt att få information
eduskunnan tietojensaantioikeus	parliament's right to information	
eduskunnan tilintarkastajat		riksdagens revisorer
eduskunnan tilintarkastajat	Auditors of Parliament	
eduskunnan tilintarkastajat	Parliamentary Auditors	
eduskunnan tilintarkastajien tilintarkastuskertomus		revisionsberättelse
eduskunnan tilintarkastajien tilintarkastuskertomus		revisionsberättelse från riksdagens revisorer
eduskunnan tilintarkastajien tilintarkastuskertomus	Parliamentary Auditors' Report	
eduskunnan tilintarkastajien tilintarkastuskertomus	Report of the Auditors of Parliament	
eduskunnan toimikausi		riksdagens mandatperiod
eduskunnan toimikausi		riksdagens mandattid
eduskunnan toimikausi		valperiod
eduskunnan toimikausi	electoral term	
eduskunnan toimikausi	parliamentary term	
eduskunnan toimikausi	term of Parliament	
eduskunnan työjärjestys		AO
eduskunnan työjärjestys		arbetsordningen
eduskunnan työjärjestys		riksdagens arbetsordning
eduskunnan työjärjestys	Parliament’s Rules of Procedure	
eduskunnan työjärjestys	Standing Orders of Parliament	
eduskunnan täysistuntosali		plenisalen
eduskunnan täysistuntosali		riksdagens plenisal
eduskunnan täysistuntosali		salen
eduskunnan täysistuntosali	Plenary Hall	
eduskunnan vaalisääntö		valstadga för riksdagen
eduskunnan vaalisääntö	Parliamentary Election Rules	
eduskunnan valiokunnat		riksdagens utskott
eduskunnan valiokunnat		riksdagsutskott
eduskunnan valiokunnat		utskotten i riksdagen
eduskunnan valiokunnat	parliamentary committees	
eduskunnan varapuhemies		riksdagens vice talman
eduskunnan varapuhemies		vice talman
eduskunnan varapuhemies	Deputy Speaker	
eduskunnan varapuhemies	Deputy Speaker of Parliament	
eduskunnan vastauksen tarkistaminen		justera riksdagens svar
eduskunnan vastauksen tarkistaminen		justering av riksdagens svar
eduskunnan vastauksen tarkistaminen	examination of a parliamentary reply	
eduskunnan vastaus		riksdagens svar
eduskunnan vastaus		svar
eduskunnan vastaus	parliamentary reply	
eduskunnan voimasuhteet		riksdagsgruppernas inbördes styrkeförhållanden
eduskunnan voimasuhteet		styrkeförhållandena i riksdagen
eduskunnan voimasuhteet	relative strengths of the parliamentary groups	
eduskunta		lantdagen
eduskunta		riksdagen
eduskunta	Eduskunta	
eduskunta	Finnish Parliament	
eduskunta	Parliament	
eduskunta-aloite		motion
eduskunta-aloite		riksdagsmotion
eduskunta-aloite	Member of Parliament’s motion	
eduskunta-aloite	Member’s motion	
eduskunta-aloite	parliamentary motion	
eduskunta-avustaja		ledamotsassistent
eduskunta-avustaja		riksdagsledamots assistent
eduskunta-avustaja	Member of Parliament’s personal assistant	
eduskunta-avustaja	Representative’s assistant	
eduskunta-avustaja	parliamentary assistant	
eduskuntaryhmien voimasuhteet		riksdagsgruppernas inbördes styrkeförhållanden
eduskuntaryhmien voimasuhteet		styrkeförhållandena i riksdagen
eduskuntaryhmien voimasuhteet	relative strengths of the parliamentary groups	
eduskuntaryhmä		riksdagsgrupp
eduskuntaryhmä	parliamentary group	
eduskuntaryhmän puheenjohtaja		ordförande för riksdagsgrupp
eduskuntaryhmän puheenjohtaja		riksdagsgruppens ordförande
eduskuntaryhmän puheenjohtaja	parliamentary group chairperson	
eduskuntasali		plenisalen
eduskuntasali		riksdagens plenisal
eduskuntasali		salen
eduskuntasali	Plenary Hall	
eduskuntasihteeri		riksdagssekreterare
eduskuntasihteeri	Parliamentary Secretary	
eduskuntatiedotus		riksdagsinformationen
eduskuntatiedotus	Parliament Information Office	
eduskuntavaalit		riksdagsval
eduskuntavaalit	general election	
eduskuntavaalit	parliamentary elections	
edustaja		ledamot
edustaja		ledamot av riksdagen
edustaja		riksdagsledamot
edustaja		riksdagsman
edustaja	MP	
edustaja	Member of Parliament	
edustaja	Representative	
edustajaeläke		ledamotspension
edustajaeläke		pension för riksdagsledamot
edustajaeläke	Member of Parliament’s pension	
edustajanpalkkio		ledamotsarvode
edustajanpalkkio		riksdagsledamots arvode
edustajanpalkkio		riksdagsmannaarvode
edustajanpalkkio	Member of Parliament’s remuneration	
edustajanpalkkio	Member of Parliament’s salary	
edustajantoimi		ledamotsuppdrag
edustajantoimi		ledamotsvärv
edustajantoimi		uppdrag som ledamot av riksdagen
edustajantoimi		uppdrag som riksdagsledamot
edustajantoimi		uppdraget att vara riksdagsledamot
edustajantoimi	MP's responsibilities	
edustajantoimi	Member’s responsibilities	
edustajantoimi	office of Representative	
edustajien lehtilukusali		ledamöternas tidningsläsesal
edustajien lehtilukusali		läsesalen
edustajien lehtilukusali		riksdagsledamöternas läsesal
edustajien lehtilukusali		riksdagsledamöternas tidningsläsesal
edustajien lehtilukusali	newspaper room	
ehdokasasettelu		kandidatnominering
ehdokasasettelu		kandidatuppställning
ehdokasasettelu	nomination of candidates	
ehdokashakemus		kandidatansökan
ehdokashakemus		kandidatansökning
ehdokashakemus	candidate application	
ehdokaslista		kandidatlista
ehdokaslista	candidate list	
ehdokaslista	list of candidates	
ehdokaslistojen yhdistelmä		sammanställning av kandidatlistor
ehdokaslistojen yhdistelmä	master list of candidates	
ehdokasrekisteri		kandidatregister
ehdokasrekisteri		riksomfattande kandidatregister
ehdokasrekisteri	national candidate register	
ehdokkaiden asettamisoikeus		rätt att ställa upp kandidater
ehdokkaiden asettamisoikeus	right to nominate candidates	
ehdotus kansainvälisen velvoitteen irtisanomisen hyväksymisestä		förslag om godkännande av uppsägning av en internationell förpliktelse
ehdotus kansainvälisen velvoitteen irtisanomisen hyväksymisestä	proposal to accept the abrogation of an international obligation	
ehdotus kansainvälisen velvoitteen tai sopimuksen hyväksymisestä		förslag om godkännande av en internationell förpliktelse eller ett fördrag
ehdotus kansainvälisen velvoitteen tai sopimuksen hyväksymisestä	proposal to accept an international obligation or treaty	
ehdotus kansainvälisen velvoitteen voimaansaattamisesta		förslag om ikraftsättande av en internationell förpliktelse
ehdotus kansainvälisen velvoitteen voimaansaattamisesta		förslag om ikraftträdande av en internationell förpliktelse
ehdotus kansainvälisen velvoitteen voimaansaattamisesta		förslag om sättande i kraft av en internationell förpliktelse
ehdotus kansainvälisen velvoitteen voimaansaattamisesta	proposal to implement an international obligation	
ehdotus päiväjärjestykseen siirtymisen sanamuodosta		förslag till lydelse för övergång till dagordningen
ehdotus päiväjärjestykseen siirtymisen sanamuodosta		förslag till ordalydelse för övergång till dagordningen
ehdotus päiväjärjestykseen siirtymisen sanamuodosta	proposal on how to proceed to the agenda	
ennakkoilmoitus		förhandsredovisning
ennakkoilmoitus	pre-election report	
ennakkokäsittely		förberedande behandling
ennakkokäsittely		förhandsbehandling
ennakkokäsittely		preliminär behandling
ennakkokäsittely	advance reading	
ennakkoäänestys		förhandsröstning
ennakkoäänestys	advance voting	
ennakkoäänestys	voting in advance	
ennakkoäänestyspaikka		förhandsröstningsställe
ennakkoäänestyspaikka	advance polling station	
ennenaikaiset eduskuntavaalit		förtida riksdagsval
ennenaikaiset eduskuntavaalit		upplösningsval
ennenaikaiset eduskuntavaalit	extraordinary parliamentary elections	
ensimmäinen käsittely		första behandlingen
ensimmäinen käsittely	first reading	
ensimmäinen varapuhemies		förste vice talman
ensimmäinen varapuhemies	First Deputy Speaker	
ensimmäinen varapuhemies	First Deputy Speaker of Parliament	
epäluottamuslause		misstroendeförklaring
epäluottamuslause		misstroendevotum
epäluottamuslause	resolution of no confidence	
erikoisvaliokunta		fackutskott
erikoisvaliokunta		specialutskott
erikoisvaliokunta	public bill committee	
erikoisvaliokunta	special committee	
erilliskertomus		särskild berättelse
erilliskertomus	special report	
erityislaki		speciallag
erityislaki		särlagstiftning
erityislaki	special act	
eriävä mielipide		avvikande mening
eriävä mielipide		avvikande åsikt
eriävä mielipide	dissenting opinion	
erottaa edustajantoimesta		skilja från ledamotsuppdraget
erottaa edustajantoimesta		skilja från uppdraget som riksdagsledamot
erottaa edustajantoimesta	dismiss a Member of Parliament from office	
erottaa edustajantoimesta	dismiss from office	
esittelypuheenvuoro		föredragningsanförande
esittelypuheenvuoro		presentation
esittelypuheenvuoro		presentationsanförande
esittelypuheenvuoro	presentation speech	
esitys valtion talousarvioksi		budgetproposition
esitys valtion talousarvioksi		proposition om statsbudgeten
esitys valtion talousarvioksi		regeringens proposition om statsbudgeten
esitys valtion talousarvioksi	budget proposal	
eteishalli		entréhallen
eteishalli		vestibulen
eteishalli	Parliament Building Foyer	
finanssivalta		finansmakt
finanssivalta	fiscal power	
hajottaa eduskunta		bestämma om förtida riksdagsval
hajottaa eduskunta		upplösa riksdagen
hajottaa eduskunta	order extraordinary parliamentary elections	
hajotusvaalit		förtida riksdagsval
hajotusvaalit		upplösningsval
hajotusvaalit	extraordinary parliamentary elections	
hallinto- ja turvallisuusjaosto		FsD
hallinto- ja turvallisuusjaosto		förvaltnings- och säkerhetsdelegationen
hallinto- ja turvallisuusjaosto	Administration and Security Sub-committee	
hallinto-osasto		förvaltningsavdelningen
hallinto-osasto	Administrative Department	
hallintotoimisto		förvaltningsbyrån
hallintotoimisto	Administrative Office	
hallintovaliokunta		FvU
hallintovaliokunta		förvaltningsutskottet
hallintovaliokunta	Administration Committee	
hallituksen aitio		ministerbåset
hallituksen aitio		ministerlogen
hallituksen aitio		regeringsbåset
hallituksen aitio		regeringslogen
hallituksen aitio	Government Box	
hallituksen esitys		RP
hallituksen esitys		proposition
hallituksen esitys		proposition från regeringen
hallituksen esitys		propp
hallituksen esitys		regeringens proposition
hallituksen esitys		regeringsproposition
hallituksen esitys	government proposal	
hallituksen esitys lisätalousarvioksi		regeringens proposition om en tilläggsbudget
hallituksen esitys lisätalousarvioksi		tilläggsbudgetproposition
hallituksen esitys lisätalousarvioksi	supplementary budget proposal	
hallituksen esitys valtion talousarvioksi		budgetproposition
hallituksen esitys valtion talousarvioksi		proposition om statsbudgeten
hallituksen esitys valtion talousarvioksi		regeringens proposition om statsbudgeten
hallituksen esitys valtion talousarvioksi	budget proposal	
hallituksen esitystä täydentävä esitys		kompletterande proposition
hallituksen esitystä täydentävä esitys		kompletteringsproposition
hallituksen esitystä täydentävä esitys		regeringens proposition om komplettering av en proposition
hallituksen esitystä täydentävä esitys	supplementary government proposal	
hallituksen kirjelmä		RS
hallituksen kirjelmä		regeringens skrivelse
hallituksen kirjelmä		skrivelse av regeringen
hallituksen kirjelmä		skrivelse från regeringen
hallituksen kirjelmä	government communication	
hallituksen kokoushuone		regeringens mötesrum
hallituksen kokoushuone		regeringens sammanträdesrum
hallituksen kokoushuone		regeringens stora rum
hallituksen kokoushuone	Government Meeting Room	
hallituksen käytävä		regeringskorridoren
hallituksen käytävä	Government Gallery	
hallituksen käytävä	Government's Corridor	
hallituksen lakiesitys		proposition
hallituksen lakiesitys		regeringens proposition med förslag till lag
hallituksen lakiesitys	legislative proposal	
hallituksen muodostaminen		regeringsbildning
hallituksen muodostaminen	formation of the Government	
hallituksen pieni huone		regeringens lilla rum
hallituksen pieni huone		regeringens mottagningsrum
hallituksen pieni huone	Government Reception Room	
hallituksen suuri huone		regeringens mötesrum
hallituksen suuri huone		regeringens sammanträdesrum
hallituksen suuri huone		regeringens stora rum
hallituksen suuri huone	Government Meeting Room	
hallituksen toimenpidekertomus		berättelse om regeringens åtgärder
hallituksen toimenpidekertomus		regeringens berättelse
hallituksen toimenpidekertomus		regeringens åtgärdsberättelse
hallituksen toimenpidekertomus		åtgärdsberättelsen
hallituksen toimenpidekertomus	Government Annual Report	
hallituksen vastaanottohuone		regeringens lilla rum
hallituksen vastaanottohuone		regeringens mottagningsrum
hallituksen vastaanottohuone	Government Reception Room	
hallituksen vuosikertomus		regeringens årsberättelse
hallituksen vuosikertomus	Government Annual Report	
hallitus		ministär
hallitus		regering
hallitus	Cabinet	
hallitus	Government	
hallitusohjelma		regeringens program
hallitusohjelma		regeringsförklaring
hallitusohjelma		regeringsprogram
hallitusohjelma	Government Programme	
hallituspohja		regeringsbas
hallituspohja	composition of the government	
hallitusryhmä		ministergrupp
hallitusryhmä		regeringsgrupp
hallitusryhmä	group of ministers	
hallitusryhmä	ministerial group	
hallitusryhmät		regeringsgrupper
hallitusryhmät	government groups	
henkilövaali		VAL
henkilövaali		personval
henkilövaali	election of officials	
hylkäysehdotus		förslag om förkastande
hylkäysehdotus	proposed rejection	
hylätä lakiehdotus		avslå ett lagförslag
hylätä lakiehdotus		avvisa ett lagförslag
hylätä lakiehdotus		förkasta ett lagförslag
hylätä lakiehdotus	reject a bill	
hyväksyä lakiehdotus		godkänna ett lagförslag
hyväksyä lakiehdotus	pass a bill	
ikäpuhemies		ålderstalman
ikäpuhemies	honorary speaker by age	
ikäpuhemies	honorary speaker of Parliament by age	
ilmoittautua täysistuntoon		anmäla sig till plenum
ilmoittautua täysistuntoon	sign in for a plenary session	
ilmoitus äänioikeudesta		meddelande om rösträtt
ilmoitus äänioikeudesta		meddelandekort
ilmoitus äänioikeudesta	notice of right to vote	
ilmoitus äänioikeudesta	polling card	
ilmoitusasia		anmälan
ilmoitusasia		anmälningsärende
ilmoitusasia		meddelande
ilmoitusasia	plenary session announcement	
ilmoituskortti		meddelande om rösträtt
ilmoituskortti		meddelandekort
ilmoituskortti	notice of right to vote	
ilmoituskortti	polling card	
imperatiivisen mandaatin kielto		förbud mot imperativt mandat
imperatiivisen mandaatin kielto		principen om fritt mandat
imperatiivisen mandaatin kielto	principle of free mandate	
iso sali		plenisalen
iso sali		riksdagens plenisal
iso sali		salen
iso sali	Plenary Hall	
istumajärjestys		placering
istumajärjestys		sittordning
istumajärjestys		sittordning i plenisalen
istumajärjestys	seating arrangement	
istumajärjestys	seating arrangement in Plenary Hall	
istuntokauden suunnitelma		plenarplan
istuntokauden suunnitelma		plenarplan för vår/höstsessionen
istuntokauden suunnitelma	plenary session schedule	
istuntokauden suunnitelma	schedule of plenary sessions	
istuntosali		plenisalen
istuntosali		riksdagens plenisal
istuntosali		salen
istuntosali	Plenary Hall	
istuntosalijärjestelmä		plenisalssystemet
istuntosalijärjestelmä		salssystemet
istuntosalijärjestelmä		systemet i plenisalen
istuntosalijärjestelmä	Plenary Hall information system	
istuntosuunnitelma		plenarplan
istuntosuunnitelma		plenarplan för vår/höstsessionen
istuntosuunnitelma	plenary session schedule	
istuntosuunnitelma	schedule of plenary sessions	
jaosto		delegation
jaosto		utskottsdelegation
jaosto	sub-committee	
jarrutuskeskustelu		filibusterdebatt
jarrutuskeskustelu		obstruktionsdebatt
jarrutuskeskustelu	filibuster	
jarrutuskeskustelu	filibustering	
jatkettu ainoa käsittely		fortsatt enda behandling
jatkettu ainoa käsittely	continued single reading	
jatkettu ensimmäinen käsittely		fortsatt första behandling
jatkettu ensimmäinen käsittely	continued first reading	
jatkuvuusperiaate		uppskovsprincipen
jatkuvuusperiaate	continuity-of-consideration principle	
johtoryhmä		kansliets ledningsgrupp
johtoryhmä		ledningsgruppen
johtoryhmä		ledningsgruppen för riksdagens kansli
johtoryhmä	management group of the Parliamentary Office	
johtosääntö		instruktion
johtosääntö	rules of procedure	
julistaa kiireelliseksi		förklara brådskande
julistaa kiireelliseksi	declare urgent	
julistaa valtiopäivät avatuiksi		förklara riksmöte öppnat
julistaa valtiopäivät avatuiksi	declare the parliamentary session open	
julkaista laki		publicera en lag
julkaista laki	publish an act	
jälki-ilmoittautuminen		anmälan i efterhand
jälki-ilmoittautuminen		efteranmälan
jälki-ilmoittautuminen	late sign-in	
jälki-ilmoitus		efterhandsredovisning
jälki-ilmoitus	post-election report	
jättää laki vahvistamatta		inte stadfästa en lag
jättää laki vahvistamatta	decline to approve a bill	
kahden kolmasosan enemmistö		två tredjedels majoritet
kahden kolmasosan enemmistö	two-thirds majority	
kaksikamarinen kansanedustuslaitos		riksdag med två kamrar
kaksikamarinen kansanedustuslaitos		tvåkammarparlament
kaksikamarinen kansanedustuslaitos		tvåkammarriksdag
kaksikamarinen kansanedustuslaitos	bicameral legislature	
kannatuspuheenvuoro		instämmande
kannatuspuheenvuoro		instämmande inlägg
kannatuspuheenvuoro	seconding speech	
kannatuspuheenvuoro	supporting speech	
kansainvälinen sopimus		fördrag
kansainvälinen sopimus		internationell överenskommelse
kansainvälinen sopimus		internationellt avtal
kansainvälinen sopimus		internationellt fördrag
kansainvälinen sopimus		traktat
kansainvälinen sopimus	convention	
kansainvälinen sopimus	treaty	
kansainvälisten asiain foorumi		forum för internationella frågor
kansainvälisten asiain foorumi		internationellt forum
kansainvälisten asiain foorumi	International Affairs Forum	
kansainvälisten asiain yksikkö		internationella enheten
kansainvälisten asiain yksikkö	International Department	
kansalaisaloite		MI
kansalaisaloite		medborgarinitiativ
kansalaisaloite	citizens' initiative	
kansanedustaja		ledamot
kansanedustaja		ledamot av riksdagen
kansanedustaja		riksdagsledamot
kansanedustaja		riksdagsman
kansanedustaja	MP	
kansanedustaja	Member of Parliament	
kansanedustaja	Representative	
kansanedustajan aloite		motion
kansanedustajan aloite		riksdagsmotion
kansanedustajan aloite	Member of Parliament’s motion	
kansanedustajan aloite	Member’s motion	
kansanedustajan aloite	parliamentary motion	
kansanedustajan aloiteoikeus		förslagsrätt
kansanedustajan aloiteoikeus		initiativrätt
kansanedustajan aloiteoikeus		motionsrätt
kansanedustajan aloiteoikeus		riksdagsledamots initiativrätt
kansanedustajan aloiteoikeus	Member of Parliament’s right to introduce a motion	
kansanedustajan avustaja		ledamotsassistent
kansanedustajan avustaja		riksdagsledamots assistent
kansanedustajan avustaja	Member of Parliament’s personal assistant	
kansanedustajan avustaja	Representative’s assistant	
kansanedustajan avustaja	parliamentary assistant	
kansanedustajan eläke		ledamotspension
kansanedustajan eläke		pension för riksdagsledamot
kansanedustajan eläke	Member of Parliament’s pension	
kansanedustajan koskemattomuus		immunitetsskydd
kansanedustajan koskemattomuus		parlamentarisk immunitet
kansanedustajan koskemattomuus		riksdagsledamots immunitet
kansanedustajan koskemattomuus	parliamentary immunity	
kansanedustajan lakialoite		LM
kansanedustajan lakialoite		lagmotion
kansanedustajan lakialoite	Member of Parliament’s legislative motion	
kansanedustajan lakialoite	legislative motion	
kansanedustajan lakialoite	legislative motion submitted by a Member of Parliament	
kansanedustajan palkkio		ledamotsarvode
kansanedustajan palkkio		riksdagsledamots arvode
kansanedustajan palkkio		riksdagsmannaarvode
kansanedustajan palkkio	Member of Parliament’s remuneration	
kansanedustajan palkkio	Member of Parliament’s salary	
